Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,fire irrigation,Wildfire sprinkler system,,,,fire,8100,20,4.31,0.27,10,Commercial,"Local Pack, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches, See Results About","0.66,0.54,0.66,1.00,0.66,0.66,0.54,0.29,0.02,0.00,0.02,0.54",20,,
us,residential fire sprinkler system,Wildfire sprinkler system,,,,fire,1000,25,3.22,0.27,10200000,Commercial,"Local Pack, Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches","0.62,0.81,0.55,1.00,0.45,0.62,0.45,0.81,0.55,0.62,0.45,0.62",20,,
us,install fire sprinkler system,Wildfire sprinkler system,,,,fire,590,19,5.54,0.06,9150000,Commercial,"Video Carousel, People Also Ask, Related Searches, Local Pack, Site Links, Video","0.03,0.03,0.05,0.11,0.20,0.37,0.37,0.68,1.00,0.68,0.08,0.25",20,,
us,fire sprinklers in homes,Wildfire sprinkler system,,,,fire,320,19,3.16,0.33,5540000,Informational,"Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.36,0.29,0.36,0.66,0.15,0.66,1.00,0.81,0.29,0.44,0.23,0.29",20,,
us,residential fire suppression system,Wildfire sprinkler system,,,,fire,260,16,2.41,0.81,10900000,Commercial,"Image Pack, Video, People Also Ask, Popular Products, Related Searches","0.43,0.43,0.43,1.00,0.54,0.54,0.43,0.54,0.43,0.54,0.54,0.43",90,,
us,roof sprinkler fire protection,Wildfire sprinkler system,,,,protection,140,8,2.98,0.75,5300000,Commercial,"Video, Video Carousel, Related Searches, Short Videos, Image Pack, Site Links, People Also Ask, Popular Products, AI Overview","0.01,0.01,0.01,1.00,0.09,0.04,0.04,0.04,0.05,0.05,0.07,0.05",20,,
us,ceiling sprinklers,Wildfire sprinkler system,,,,sprinklers,720,23,4.42,0.34,14600000,Informational,"Local Pack, Video, Image, Video Carousel, Image Pack, Site Links, People Also Ask, Popular Products, Related Searches","0.01,0.00,1.00,0.00,0.01,0.02,0.03,0.03,0.10,0.36,0.03,0.03",20,,
us,roof sprinklers,Wildfire sprinkler system,,,,sprinklers,720,11,1.94,0.78,10200000,Informational,"Video, Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Knowledge Panel, Site Links","0.03,0.04,0.04,1.00,0.22,0.03,0.03,0.05,0.16,0.07,0.08,0.05",20,,
us,sprinklers system,Wildfire sprinkler system,,,,sprinklers,320,45,2.96,1.00,28400000,Transactional,"Local Pack, Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Things To Know","0.02,0.03,0.02,0.12,0.01,0.03,0.04,0.05,0.04,0.02,0.01,0.02",20,,
us,house saved by sprinklers,Wildfire sprinkler system,,,,sprinklers,70,19,0.00,0.00,10,"Informational, Transactional","Video Carousel, People Also Ask, Related Searches, Image Pack, Video, Image","0.04,0.04,0.04,1.00,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04",90,,
us,fire suppression sprinklers,Wildfire sprinkler system,,,,sprinklers,40,35,3.26,0.26,2480000,Transactional,"Popular Products, Related Searches, Local Pack, Image Pack, Site Links, Video","0.28,0.00,0.28,0.21,1.00,1.00,0.28,0.28,0.21,0.64,0.35,0.28",20,,
us,how to protect your house from wildfires,Wildfire sprinkler system,,,,,140,25,1.68,0.39,10,Informational,"Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.03,0.12,0.02,1.00,0.05,0.23,0.07,0.05,0.04,0.05,0.05,0.04",20,,
us,how to fireproof your home from wildfires,Wildfire sprinkler system,,,,,260,50,1.46,0.38,124000,Informational,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.02,0.04,0.04,1.00,0.05,0.04,0.04,0.02,0.04,0.02,0.05,0.03",90,,
us,how much do fire sprinklers cost,Wildfire sprinkler system,,,,,50,8,3.31,0.24,5650000,Informational,"Site Links, Video, People Also Ask, Related Searches, Adwords Middle, AI Overview","0.71,0.71,0.71,0.71,0.71,0.42,1.00,1.00,0.71,0.71,0.71,0.71",20,,
us,do it yourself fire sprinkler system,Wildfire sprinkler system,,,,,40,20,0.76,0.21,4600000,Informational,"Image Pack, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.18,0.18,0.18,1.00,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18",90,,
